lorem	1
ipsum	3
dolor	1
sit	2
amet	2
consectetur	1
adipiscing	1
elit	2
vestibulum	1
ac	4
semper	1
ex	2
ut	1
sodales	1
enim	3
accumsan	1
a	2
bibendum	1
lectus	1
placerat	2
maecenas	2
pharetra	1
metus	1
id	2
tellus	2
cursus	1
efficitur	2
consequat	1
nullam	1
aliquet	1
felis	1
pellentesque	1
integer	2
euismod	1
gravida	3
odio	1
nec	1
sapien	2
condimentum	1
sed	4
dapibus	1
curabitur	1
eget	1
rutrum	3
mauris	1
vivamus	1
malesuada	1
libero	1
tempus	1
vitae	1
fermentum	1
volutpat	1
purus	1
pretium	1
donec	1
arcu	1
luctus	1
at	1
ante	1
faucibus	1
